0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:10 +0900] "GET /GitProject/assets/fonts/Opensans/OpenSans-SemiBold.woff2 HTTP/1.1" 200 46576
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:10 +0900] "GET /GitProject/assets/fonts/Opensans/OpenSans-Light.woff2 HTTP/1.1" 200 45812
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:10 +0900] "GET /GitProject/assets/fonts/Opensans/OpenSans-Bold.woff2 HTTP/1.1" 200 46460
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:10 +0900] "GET /GitProject/assets/fonts/Opensans/OpenSans-Regular.woff2 HTTP/1.1" 200 44648
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:10 +0900] "POST /GitProject/AccCh.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:11 +0900] "POST /GitProject/AccEx.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:11 +0900] "POST /GitProject/FetchCalendarEvent.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:11 +0900] "POST /GitProject/GetSentence.do HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:11 +0900] "POST /GitProject/MyData.do HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:11 +0900] "POST /GitProject/CountDate.do HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:07:11 +0900] "POST /GitProject/StdData.do HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:13 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 13391
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:13 +0900] "GET /GitProject/assets/css/demo_1/join/style.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:13 +0900] "GET /GitProject/assets/lib/join/animate.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:13 +0900] "GET /GitProject/assets/css/demo_1/join/bootstrap.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:13 +0900] "GET /GitProject/assets/js/join/datepick.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:13 +0900] "GET /GitProject/assets/js/login_fail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:17 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 13392
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:17 +0900] "GET /GitProject/assets/js/join/datepick.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:17 +0900] "GET /GitProject/assets/css/demo_1/join/bootstrap.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:17 +0900] "GET /GitProject/assets/lib/join/animate.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:17 +0900] "GET /GitProject/assets/css/demo_1/join/style.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:20 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 13391
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:20 +0900] "GET /GitProject/assets/lib/join/animate.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:20 +0900] "GET /GitProject/assets/js/join/datepick.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:20 +0900] "GET /GitProject/assets/css/demo_1/join/style.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:20 +0900] "GET /GitProject/assets/css/demo_1/join/bootstrap.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:29 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 13391
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:29 +0900] "GET /GitProject/assets/lib/join/animate.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:29 +0900] "GET /GitProject/assets/css/demo_1/join/style.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:29 +0900] "GET /GitProject/assets/js/join/datepick.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:29 +0900] "GET /GitProject/assets/css/demo_1/join/bootstrap.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:34 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 13195
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:34 +0900] "GET /GitProject/assets/js/join/datepick.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:34 +0900] "GET /GitProject/assets/css/demo_1/join/bootstrap.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:34 +0900] "GET /GitProject/assets/css/demo_1/join/style.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:34 +0900] "GET /GitProject/assets/lib/join/animate.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:37 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 13196
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:37 +0900] "GET /GitProject/assets/css/demo_1/join/bootstrap.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:37 +0900] "GET /GitProject/assets/js/join/datepick.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:37 +0900] "GET /GitProject/assets/css/demo_1/join/style.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:21:37 +0900] "GET /GitProject/assets/lib/join/animate.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:26:20 +0900] "GET /GitProject/fitintro.do HTTP/1.1" 200 5897
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:26:20 +0900] "GET /GitProject/assets/css/demo_1/intro.css HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:26:20 +0900] "GET /GitProject/assets/images/intro/introbtn3.png HTTP/1.1" 200 42551
0:0:0:0:0:0:0:1 - - [03/Apr/2024:13:26:20 +0900] "GET /GitProject/assets/images/intro/home1.png HTTP/1.1" 200 67205
